Tfmkt,fbref,football_data
AFC Bournemouth,Bournemouth,Bournemouth
Arsenal FC,Arsenal,Arsenal
Aston Villa,Aston Villa,Aston Villa
Birmingham City,Birmingham City,Birmingham
Blackburn Rovers,Blackburn,Blackburn
Blackpool FC,Blackpool,Blackpool
Bolton Wanderers,Bolton,Bolton
Bradford City,Bradford City,Bradford
Brentford FC,Brentford,Brentford
Brighton & Hove Albion,Brighton,Brighton
Burnley FC,Burnley,Burnley
Cardiff City,Cardiff City,Cardiff
Charlton Athletic,Charlton Ath,Charlton
Chelsea FC,Chelsea,Chelsea
Coventry City,Coventry City,Coventry
Crystal Palace,Crystal Palace,Crystal Palace
Derby County,Derby County,Derby
Everton FC,Everton,Everton
Fulham FC,Fulham,Fulham
Huddersfield Town,Huddersfield,Huddersfield
Hull City,Hull City,Hull
Ipswich Town,Ipswich Town,Ipswich
Leeds United,Leeds United,Leeds
Leicester City,Leicester City,Leicester
Liverpool FC,Liverpool,Liverpool
Manchester City,Manchester City,Man City
Manchester United,Manchester Utd,Man United
Middlesbrough FC,Middlesbrough,Middlesbrough
Newcastle United,Newcastle Utd,Newcastle
Norwich City,Norwich City,Norwich
Portsmouth FC,Portsmouth,Portsmouth
Queens Park Rangers,QPR,QPR
Reading FC,Reading,Reading
Sheffield United,Sheffield Utd,Sheffield United
Southampton FC,Southampton,Southampton
Stoke City,Stoke City,Stoke
Sunderland AFC,Sunderland,Sunderland
Swansea City,Swansea City,Swansea
Tottenham Hotspur,Tottenham,Tottenham
Watford FC,Watford,Watford
West Bromwich Albion,West Brom,West Brom
West Ham United,West Ham,West Ham
Wigan Athletic,Wigan Athletic,Wigan
Wolverhampton Wanderers,Wolves,Wolves
